dgp,learner,strategy,winsor_level,mean_theta,bias,rmse,mean_se,mean_width,n_reps,coverage,cov_se,cov_ci_lo,cov_ci_hi
contamination,lasso_logit,S1_data_winsor,0.01,0.4687321491762148,-0.03126785082378518,0.25549299643585505,0.2422909407553339,0.9497804877609088,200,0.93,0.01804161855266871,0.8946384276367694,0.9653615723632307
contamination,lasso_logit,S1_data_winsor,0.05,0.43493228461931066,-0.06506771538068935,0.11318741660857423,0.08607967435444003,0.3374323234694049,200,0.855,0.02489728900904675,0.8062013135422683,0.9037986864577316
contamination,lasso_logit,S4_honest_winsor,0.01,0.48672851392998956,-0.01327148607001039,0.36500143439718025,0.3684778530227662,1.4444331838492435,200,0.965,0.012995191418367032,0.9395294248200006,0.9904705751799994
contamination,lasso_logit,S4_honest_winsor,0.05,0.49679995758560813,-0.003200042414391878,0.36038073694662964,0.36657714375724737,1.4369824035284098,200,0.965,0.012995191418367032,0.9395294248200006,0.9904705751799994
contamination,rf_rf,S1_data_winsor,0.01,0.46154852179902955,-0.0384514782009705,0.2544762061634891,0.2444821540113325,0.9583700437244235,200,0.935,0.01743201078476031,0.9008332588618698,0.9691667411381303
contamination,rf_rf,S1_data_winsor,0.05,0.44148958719070586,-0.05851041280929417,0.10245632584186312,0.0819402873531068,0.3212059264241786,200,0.895,0.021676600286945368,0.8525138634375871,0.937486136562413
contamination,rf_rf,S4_honest_winsor,0.01,0.482576421724318,-0.017423578275682,0.365585069967657,0.37129670826480426,1.4554830963980327,200,0.965,0.012995191418367032,0.9395294248200006,0.9904705751799994
contamination,rf_rf,S4_honest_winsor,0.05,0.5320255188619809,0.032025518861980844,0.36076517959510734,0.3692067473194509,1.4472904494922476,200,0.97,0.012062338081814825,0.946357817359643,0.993642182640357
student_t_df3,lasso_logit,S1_data_winsor,0.01,0.45991913729933226,-0.04008086270066779,0.11213999593643117,0.10579150472320956,0.4147026985149814,200,0.93,0.01804161855266871,0.8946384276367694,0.9653615723632307
student_t_df3,lasso_logit,S1_data_winsor,0.05,0.43549049433079373,-0.06450950566920623,0.11284705995953347,0.09253190060115134,0.3627250503565132,200,0.89,0.022124646889837583,0.8466356920959184,0.9333643079040816
student_t_df3,lasso_logit,S4_honest_winsor,0.01,0.46857918739445314,-0.031420812605546834,0.12238731876746183,0.1213963019183116,0.4758735035197815,200,0.95,0.015411035007422448,0.919794371385452,0.980205628614548
student_t_df3,lasso_logit,S4_honest_winsor,0.05,0.4787326539407518,-0.02126734605924817,0.12014500761017542,0.12178344058375234,0.47739108708830913,200,0.945,0.016120638945153514,0.9134035476674991,0.9765964523325008
student_t_df3,rf_rf,S1_data_winsor,0.01,0.4756743150703553,-0.024325684929644677,0.10480614042781547,0.1023699579669719,0.40129023523052987,200,0.94,0.01679285562374667,0.9070860029774565,0.9729139970225434
student_t_df3,rf_rf,S1_data_winsor,0.05,0.4448474374391235,-0.05515256256087646,0.10480115097507363,0.08884497192396124,0.3482722899419281,200,0.915,0.019719913792915014,0.8763489689658867,0.9536510310341134
student_t_df3,rf_rf,S4_honest_winsor,0.01,0.4897852964342313,-0.010214703565768733,0.11680289577944403,0.11787936779656447,0.4620871217625327,200,0.945,0.016120638945153514,0.9134035476674991,0.9765964523325008
student_t_df3,rf_rf,S4_honest_winsor,0.05,0.5184251349022272,0.01842513490222717,0.11797160597048215,0.11830754219518912,0.4637655654051413,200,0.925,0.01862458053218917,0.8884958221569093,0.9615041778430908
