tail_type,clip_quantile,estimator_label,bias,sd,rmse,coverage,mean_ci_length,mean_share_top1pct,mean_share_top0_5pct
t3,,standard_dml,-0.2929087323776705,0.07937236871795397,0.30326473411967086,0.02,0.3128618982871957,0.21576721042985003,0.12680864481136497
t3,0.95,score_clipped_q0.95,-0.1367722076927627,0.054901082655275886,0.14717500839592032,0.28,0.22069094471741565,0.09982076277748174,0.04991038138874087
t3,0.97,score_clipped_q0.97,-0.18355880880286246,0.06555328872275076,0.19469238628730906,0.14,0.2579996130796237,0.12522240075688934,0.06261120037844467
t3,0.99,score_clipped_q0.99,-0.24978478736198417,0.07511281453484053,0.2606176053275567,0.02,0.299562923921379,0.16950514692390584,0.08526893398806273
t3,0.995,score_clipped_q0.995,-0.2715973334906724,0.07608874913106835,0.28184893001160666,0.02,0.3087663100344842,0.19124971254147538,0.10095203739821124
t3,0.999,score_clipped_q0.999,-0.2904113312043529,0.07711864607457881,0.3002783394665906,0.02,0.3130890754258655,0.2120236494551481,0.12252895475319808
t5,,standard_dml,-0.3141141018319836,0.08275719723607543,0.3246220072487339,0.02,0.34447255100575447,0.21556085146466208,0.12372413131735606
t5,0.95,score_clipped_q0.95,-0.12598152126103485,0.061500901535803815,0.1399216115229055,0.44,0.23826168255013871,0.10029434574726015,0.050147172873630075
t5,0.97,score_clipped_q0.97,-0.18335344129481126,0.07187680033862764,0.1966759603333116,0.26,0.28668310615055675,0.1298743418890921,0.06493717094454605
t5,0.99,score_clipped_q0.99,-0.2602922320897043,0.07964267966633247,0.2719708502435249,0.1,0.33521466705666164,0.1720273940033283,0.0861605512156107
t5,0.995,score_clipped_q0.995,-0.28570263596972884,0.08361318756047831,0.2974514044871778,0.06,0.3419252252036791,0.19276366686018112,0.09962029512802607
t5,0.999,score_clipped_q0.999,-0.3052665600867998,0.08188158439163422,0.31584517519262884,0.02,0.34426087541623107,0.2091018737165893,0.11597343615420982
